date,total,grupos_ipc
2013-12-01,-0.5,vivienda. agua. electricidad. gas y otros combustibles
2013-11-01,-0.6,vivienda. agua. electricidad. gas y otros combustibles
2013-10-01,-1.0,vivienda. agua. electricidad. gas y otros combustibles
2013-09-01,-2.4,vivienda. agua. electricidad. gas y otros combustibles
2013-08-01,-1.1,vivienda. agua. electricidad. gas y otros combustibles
2013-07-01,-1.9,vivienda. agua. electricidad. gas y otros combustibles
2013-06-01,-0.5,vivienda. agua. electricidad. gas y otros combustibles
2013-05-01,-0.6,vivienda. agua. electricidad. gas y otros combustibles
2013-04-01,0.1,vivienda. agua. electricidad. gas y otros combustibles
2013-03-01,4.9,vivienda. agua. electricidad. gas y otros combustibles
2013-02-01,4.8,vivienda. agua. electricidad. gas y otros combustibles
2013-01-01,4.4,vivienda. agua. electricidad. gas y otros combustibles
2012-12-01,7.2,vivienda. agua. electricidad. gas y otros combustibles
2012-11-01,7.2,vivienda. agua. electricidad. gas y otros combustibles
2012-10-01,7.7,vivienda. agua. electricidad. gas y otros combustibles
2012-09-01,8.6,vivienda. agua. electricidad. gas y otros combustibles
2012-08-01,7.1,vivienda. agua. electricidad. gas y otros combustibles
2012-07-01,6.7,vivienda. agua. electricidad. gas y otros combustibles
2012-06-01,6.0,vivienda. agua. electricidad. gas y otros combustibles
2012-05-01,6.0,vivienda. agua. electricidad. gas y otros combustibles
2012-04-01,5.7,vivienda. agua. electricidad. gas y otros combustibles
2012-03-01,3.6,vivienda. agua. electricidad. gas y otros combustibles
2012-02-01,4.0,vivienda. agua. electricidad. gas y otros combustibles
2012-01-01,4.2,vivienda. agua. electricidad. gas y otros combustibles
2011-12-01,6.0,vivienda. agua. electricidad. gas y otros combustibles
2011-11-01,6.3,vivienda. agua. electricidad. gas y otros combustibles
2011-10-01,6.6,vivienda. agua. electricidad. gas y otros combustibles
2011-09-01,8.0,vivienda. agua. electricidad. gas y otros combustibles
2011-08-01,8.0,vivienda. agua. electricidad. gas y otros combustibles
2011-07-01,8.1,vivienda. agua. electricidad. gas y otros combustibles
2011-06-01,8.4,vivienda. agua. electricidad. gas y otros combustibles
2011-05-01,8.4,vivienda. agua. electricidad. gas y otros combustibles
2011-04-01,8.5,vivienda. agua. electricidad. gas y otros combustibles
2011-03-01,8.7,vivienda. agua. electricidad. gas y otros combustibles
2011-02-01,8.6,vivienda. agua. electricidad. gas y otros combustibles
2011-01-01,8.6,vivienda. agua. electricidad. gas y otros combustibles
2010-12-01,5.8,vivienda. agua. electricidad. gas y otros combustibles
2010-11-01,5.4,vivienda. agua. electricidad. gas y otros combustibles
2010-10-01,5.2,vivienda. agua. electricidad. gas y otros combustibles
2010-09-01,3.6,vivienda. agua. electricidad. gas y otros combustibles
2010-08-01,3.5,vivienda. agua. electricidad. gas y otros combustibles
2010-07-01,4.0,vivienda. agua. electricidad. gas y otros combustibles
2010-06-01,3.3,vivienda. agua. electricidad. gas y otros combustibles
2010-05-01,3.4,vivienda. agua. electricidad. gas y otros combustibles
2010-04-01,3.0,vivienda. agua. electricidad. gas y otros combustibles
2010-03-01,0.8,vivienda. agua. electricidad. gas y otros combustibles
2010-02-01,0.4,vivienda. agua. electricidad. gas y otros combustibles
2010-01-01,1.2,vivienda. agua. electricidad. gas y otros combustibles
2009-12-01,1.3,vivienda. agua. electricidad. gas y otros combustibles
2009-11-01,1.1,vivienda. agua. electricidad. gas y otros combustibles
2009-10-01,1.4,vivienda. agua. electricidad. gas y otros combustibles
2009-09-01,1.5,vivienda. agua. electricidad. gas y otros combustibles
2009-08-01,1.6,vivienda. agua. electricidad. gas y otros combustibles
2009-07-01,1.0,vivienda. agua. electricidad. gas y otros combustibles
2009-06-01,2.5,vivienda. agua. electricidad. gas y otros combustibles
2009-05-01,2.6,vivienda. agua. electricidad. gas y otros combustibles
2009-04-01,3.2,vivienda. agua. electricidad. gas y otros combustibles
2009-03-01,6.0,vivienda. agua. electricidad. gas y otros combustibles
2009-02-01,6.7,vivienda. agua. electricidad. gas y otros combustibles
2009-01-01,6.4,vivienda. agua. electricidad. gas y otros combustibles
2008-12-01,7.3,vivienda. agua. electricidad. gas y otros combustibles
2008-11-01,7.7,vivienda. agua. electricidad. gas y otros combustibles
2008-10-01,7.5,vivienda. agua. electricidad. gas y otros combustibles
2008-09-01,8.3,vivienda. agua. electricidad. gas y otros combustibles
2008-08-01,8.4,vivienda. agua. electricidad. gas y otros combustibles
2008-07-01,8.7,vivienda. agua. electricidad. gas y otros combustibles
2008-06-01,6.9,vivienda. agua. electricidad. gas y otros combustibles
2008-05-01,6.6,vivienda. agua. electricidad. gas y otros combustibles
2008-04-01,6.7,vivienda. agua. electricidad. gas y otros combustibles
2008-03-01,5.3,vivienda. agua. electricidad. gas y otros combustibles
2008-02-01,6.0,vivienda. agua. electricidad. gas y otros combustibles
2008-01-01,5.4,vivienda. agua. electricidad. gas y otros combustibles
2007-12-01,5.2,vivienda. agua. electricidad. gas y otros combustibles
2007-11-01,5.2,vivienda. agua. electricidad. gas y otros combustibles
2007-10-01,5.1,vivienda. agua. electricidad. gas y otros combustibles
2007-09-01,4.0,vivienda. agua. electricidad. gas y otros combustibles
2007-08-01,3.7,vivienda. agua. electricidad. gas y otros combustibles
2007-07-01,3.7,vivienda. agua. electricidad. gas y otros combustibles
2007-06-01,3.4,vivienda. agua. electricidad. gas y otros combustibles
2007-05-01,3.5,vivienda. agua. electricidad. gas y otros combustibles
2007-04-01,3.1,vivienda. agua. electricidad. gas y otros combustibles
2007-03-01,4.6,vivienda. agua. electricidad. gas y otros combustibles
2007-02-01,4.4,vivienda. agua. electricidad. gas y otros combustibles
2007-01-01,4.8,vivienda. agua. electricidad. gas y otros combustibles
2006-12-01,5.5,vivienda. agua. electricidad. gas y otros combustibles
2006-11-01,5.1,vivienda. agua. electricidad. gas y otros combustibles
2006-10-01,5.0,vivienda. agua. electricidad. gas y otros combustibles
2006-09-01,5.8,vivienda. agua. electricidad. gas y otros combustibles
2006-08-01,6.1,vivienda. agua. electricidad. gas y otros combustibles
2006-07-01,6.5,vivienda. agua. electricidad. gas y otros combustibles
2006-06-01,7.0,vivienda. agua. electricidad. gas y otros combustibles
2006-05-01,7.1,vivienda. agua. electricidad. gas y otros combustibles
2006-04-01,7.1,vivienda. agua. electricidad. gas y otros combustibles
2006-03-01,7.0,vivienda. agua. electricidad. gas y otros combustibles
2006-02-01,6.6,vivienda. agua. electricidad. gas y otros combustibles
2006-01-01,6.4,vivienda. agua. electricidad. gas y otros combustibles
2005-12-01,4.9,vivienda. agua. electricidad. gas y otros combustibles
2005-11-01,5.0,vivienda. agua. electricidad. gas y otros combustibles
